Type,Paper ID,Oral / Poster,Track Theme,Title,Authors Names,Presenter first name,Presenter last name,Session,Sub-session,Session Time
FIND,3247,Poster,NLP Applications,BiMediX: Bilingual Medical Mixture of Experts LLM,"Sara Pieri(~Sara_Pieri2),Sahal Shaji Mullappilly(~Sahal_Shaji_Mullappilly1),Fahad Shahbaz Khan(~Fahad_Shahbaz_Khan1),Rao Muhammad Anwer(~Rao_Muhammad_Anwer2),Salman Khan(~Salman_Khan4),Timothy Baldwin(~Timothy_Baldwin1),Hisham Cholakkal(~Hisham_Cholakkal2)",Sahal Shaji,Mullappilly,Session 12,NLP Applications 5,Nov 14 (Thu) 14:00-15:30
FIND,3250,Poster,"Multimodality and Language Grounding to Vision, Robotics and Beyond",Improving Adversarial Robustness in Vision-Language Models with Architecture and Prompt Design,"Rishika Bhagwatkar(~Rishika_Bhagwatkar1),Shravan Nayak(~Shravan_Nayak1),Pouya Bashivan(~Pouya_Bashivan1),Irina Rish(~Irina_Rish1)",Rishika,Bhagwatkar,Session 12,"Multimodality and Language Grounding to Vision, Robotics and Beyond 5",Nov 14 (Thu) 14:00-15:30
FIND,3262,Poster,NLP Applications,Zero-Shot Fact Verification via Natural Logic and Large Language Models,"Marek Strong(~Marek_Strong1),Rami Aly(~Rami_Aly1),Andreas Vlachos(~Andreas_Vlachos1)",Marek,Strong,Session 06,NLP Applications 2,Nov 13 (Wed) 10:30-12:00
FIND,3267,VPoster,NLP Applications,Robust AI-Generated Text Detection by Restricted Embeddings,"Kristian Kuznetsov(~Kristian_Kuznetsov1),Eduard Tulchinskii(~Eduard_Tulchinskii1),Laida Kushnareva(~Laida_Kushnareva1),German Magai(~German_Magai1),Serguei Barannikov(~Serguei_Barannikov1),Sergey Nikolenko(~Sergey_Nikolenko1),Irina Piontkovskaya(~Irina_Piontkovskaya2)",Laida,Kushnareva,VPoster,,
FIND,3279,Not Presenting,,CROWD: Certified Robustness via Weight Distribution for Smoothed Classifiers against Backdoor Attack,"Siqi Sun(~Siqi_Sun3),Procheta Sen(~Procheta_Sen2),Wenjie Ruan(~Wenjie_Ruan2)",Siqi ,Sun,Not Presenting,,
FIND,328,Poster,Machine Learning for NLP,Reconfidencing LLMs from the Grouping Loss Perspective,"Lihu Chen(~Lihu_Chen1),Alexandre Perez-Lebel(~Alexandre_Perez-Lebel1),Fabian M. Suchanek(~Fabian_M._Suchanek1),Gael Varoquaux(~Gael_Varoquaux1)",Lihu,Chen,Session 03,Machine Learning for NLP 1,Nov 12 (Tue) 14:00-15:30
FIND,3283,Not Presenting,,EM-LoRA: Efficient Mixture of Low-Rank Adaptation for Large Language Models Fine-tuning,"Wei Zhu(~Wei_Zhu7),Huanran Zheng(~Huanran_Zheng1),Yi Zhao(~Yi_Zhao18),Xing Tian(~Xing_Tian3),Jingfan Zhang(~Jingfan_Zhang1),Yi Ge(~Yi_Ge3),Jiawen Lyn(~Jiawen_Lyn1)",TBA,TBA,Not Presenting,,
FIND,3284,Poster,Computational Social Science and Cultural Analytics,Revealing Fine-Grained Values and Opinions in Large Language Models,"Dustin Wright(~Dustin_Wright2),Arnav Arora(~Arnav_Arora1),Nadav Borenstein(~Nadav_Borenstein1),Srishti Yadav(~Srishti_Yadav1),Serge Belongie(~Serge_Belongie1),Isabelle Augenstein(~Isabelle_Augenstein1)",Dustin,Wright,Session 12,Computational Social Science and Cultural Analytics 4,Nov 14 (Thu) 14:00-15:30
FIND,3286,Poster,Resources and Evaluation,PythonSaga: Redefining the Benchmark to Evaluate Code Generating LLMs,"Ankit Yadav(~Ankit_Yadav1),Mayank Singh(~Mayank_Singh1),Himanshu Beniwal(~Himanshu_Beniwal1)",Himanshu,Beniwal,Session 04,Resources and Evaluation 2,Nov 12 (Tue) 16:00-17:30
FIND,3287,Poster,NLP Applications,Efficient and Interpretable Grammatical Error Correction with Mixture of Experts,"Muhammad Reza Qorib(~Muhammad_Reza_Qorib1),Alham Fikri Aji(~Alham_Fikri_Aji1),Hwee Tou Ng(~Hwee_Tou_Ng3)",Muhammad Reza,Qorib,Session 02,NLP Applications 1,Nov 12 (Tue) 11:00-12:30
FIND,3288,Not Presenting,,Dial BeInfo for Faithfulness: Improving Factuality of Information-Seeking Dialogue via Behavioural Fine-Tuning,"Evgeniia Razumovskaia(~Evgeniia_Razumovskaia1),Ivan Vulić(~Ivan_Vulić1),Pavle Marković(~Pavle_Marković1),Tomasz Cichy(~Tomasz_Cichy1),Qian Zheng(~Qian_Zheng7),Tsung-Hsien Wen(~Tsung-Hsien_Wen1),Paweł Budzianowski(~Paweł_Budzianowski1)",TBA,TBA,Not Presenting,,
FIND,3293,Not Presenting,,Unified Active Retrieval for Retrieval Augmented Generation,"Qinyuan Cheng(~Qinyuan_Cheng1),Xiaonan Li(~Xiaonan_Li1),Shimin Li(~Shimin_Li1),Qin Zhu(~Qin_Zhu2),Zhangyue Yin(~Zhangyue_Yin1),Yunfan Shao(~Yunfan_Shao1),Linyang Li(~Linyang_Li1),Tianxiang Sun(~Tianxiang_Sun1),Hang Yan(~Hang_Yan2),Xipeng Qiu(~Xipeng_Qiu1)",TBA,TBA,Not Presenting,,
FIND,33,Poster,NLP Applications,Unleashing Large Language Models' Proficiency in Zero-shot Essay Scoring,"Sanwoo Lee(~Sanwoo_Lee1),Yida Cai(~Yida_Cai1),Desong Meng(~Desong_Meng1),Ziyang Wang(~Ziyang_Wang2),Yunfang Wu(~Yunfang_Wu1)",Sanwoo,Lee,Session 12,NLP Applications 5,Nov 14 (Thu) 14:00-15:30
FIND,3301,Poster,Multilinguality and Language Diversity,Mitigating Catastrophic Forgetting in Language Transfer via Model Merging,"Anton Alexandrov(~Anton_Alexandrov1),Veselin Raychev(~Veselin_Raychev1),Mark Niklas Mueller(~Mark_Niklas_Mueller2),Ce Zhang(~Ce_Zhang1),Martin Vechev(~Martin_Vechev1),Kristina Toutanova(~Kristina_Toutanova1)",Anton,Alexandrov,Session 03,Multilinguality and Language Diversity 1,Nov 12 (Tue) 14:00-15:30
FIND,3303,Not Presenting,,ATQ: Activation Transformation forWeight-Activation Quantization of Large Language Models,"Yundong Gai(~Yundong_Gai2),Ping Li(~Ping_Li16)",TBA,TBA,Not Presenting,,
FIND,3305,Poster,"Special Theme: Efficiency in Model Algorithms, Training, and Inference",Stochastic Fine-Tuning of Language Models Using Masked Gradients,"Mohammad Akbar-Tajari(~Mohammad_Akbar-Tajari1),Mohammad Taher Pilehvar(~Mohammad_Taher_Pilehvar2)",Mohammad,Akbar-Tajari,Session 11,"Special Theme: Efficiency in Model Algorithms, Training, and Inference 3",Nov 14 (Thu) 10:30-12:00
FIND,3306,Poster,Interpretability and Analysis of Models for NLP,To Know or Not To Know? Analyzing Self-Consistency of Large Language Models under Ambiguity,"Anastasiia Sedova(~Anastasiia_Sedova1),Robert Litschko(~Robert_Litschko1),Diego Frassinelli(~Diego_Frassinelli1),Benjamin Roth(~Benjamin_Roth2),Barbara Plank(~Barbara_Plank2)",Anastasiia,Sedova,Session 11,Interpretability and Analysis of Models for NLP 5,Nov 14 (Thu) 10:30-12:00
FIND,332,Poster,Language Modeling,Tokenization Falling Short: The Curse of Tokenization,"Yekun Chai(~Yekun_Chai1),Yewei Fang(~Yewei_Fang1),Qiwei Peng(~Qiwei_Peng1),Xuhong Li(~Xuhong_Li3)",Yekun,Chai,Session 09,Language Modeling 3,Nov 13 (Wed) 16:00-17:30
